transaction_id,timestamp,amount,transaction_type,merchant,location,is_foreign,is_high_risk_country,opening_balance,closing_balance,account_id,account_type_txn,account_type_acct,account_number,balance,created_at_acct,customer_id,name,email,phone,address,dob,created_at_cust,is_fraud,fraud_reasons,agg_txn_count,agg_avg_amount,agg_std_amount,agg_max_amount,agg_unique_merchants,agg_unique_locations,past_txn_count,past_avg_amount,past_common_merchant,past_common_location,anomaly_score,predicted_fraud
2f10db03-f03b-41d0-994e-4204019d4970,2025-01-05T01:33:35.403122,1311.3,deposit,Shepherd-Austin,Mccoyland,False,False,24682.02,25993.32,0232bc3e-fea9-4777-b6e7-925f2e278780,checking,checking,KVVZ62729806990162,22823.62,2024-07-28T21:02:23.936034,4157b158-1717-40c8-9ff0-a0a151172def,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T20:58:32.377405,False,,10,1290.939,420.1718576818036,1853.34,10,10,9,0.0,,,0.0020030676250117853,1
243bae47-cbb6-4b50-9ba3-f27847431729,2025-01-05T16:11:07.826276,1542.9,payment,Bryant and Sons,Danielchester,False,False,23454.88,24997.78,0232bc3e-fea9-4777-b6e7-925f2e278780,checking,checking,KVVZ62729806990162,22823.62,2024-07-28T21:02:23.936034,4157b158-1717-40c8-9ff0-a0a151172def,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T20:58:32.377405,False,,10,1290.939,420.1718576818036,1853.34,10,10,9,145.69999999999996,Shepherd-Austin,Mccoyland,0.001992579081129298,1
46698fc1-425e-47ec-ace6-4cc1bc4f8c92,2025-01-14T06:19:31.160763,631.26,payment,"Harris, Aguilar and Davis",Stokesmouth,False,False,22823.62,23454.88,0232bc3e-fea9-4777-b6e7-925f2e278780,checking,checking,KVVZ62729806990162,22823.62,2024-07-28T21:02:23.936034,4157b158-1717-40c8-9ff0-a0a151172def,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T20:58:32.377405,False,,10,1290.939,420.1718576818036,1853.34,10,10,9,317.1333333333333,Shepherd-Austin,Mccoyland,0.0019524580220603646,1
c7531180-7c1d-4cec-a6bd-e74e040ef9e6,2025-01-18T17:01:57.366701,631.8,deposit,Vargas Group,Angelamouth,False,False,26348.21,26980.01,0232bc3e-fea9-4777-b6e7-925f2e278780,checking,checking,KVVZ62729806990162,22823.62,2024-07-28T21:02:23.936034,4157b158-1717-40c8-9ff0-a0a151172def,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T20:58:32.377405,False,,10,1290.939,420.1718576818036,1853.34,10,10,9,387.2733333333333,Shepherd-Austin,Mccoyland,0.0019124229452952715,1
55523a6b-d18b-4032-9234-7a2979038e5a,2025-01-25T11:06:50.606102,1641.8,payment,"Archer, Owens and Mosley",South Elainebury,False,False,22491.41,24133.21,0232bc3e-fea9-4777-b6e7-925f2e278780,checking,checking,KVVZ62729806990162,22823.62,2024-07-28T21:02:23.936034,4157b158-1717-40c8-9ff0-a0a151172def,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T20:58:32.377405,False,,10,1290.939,420.1718576818036,1853.34,10,10,9,457.47333333333336,Shepherd-Austin,Mccoyland,0.0019512320699115056,1
4cee301a-bf4d-49dd-baaf-c90789dd2a17,2025-02-06T00:06:18.553504,1350.43,payment,Trujillo-Gonzales,North Hannah,False,False,24997.78,26348.21,0232bc3e-fea9-4777-b6e7-925f2e278780,checking,checking,KVVZ62729806990162,22823.62,2024-07-28T21:02:23.936034,4157b158-1717-40c8-9ff0-a0a151172def,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T20:58:32.377405,False,,10,1290.939,420.1718576818036,1853.34,10,10,9,639.8955555555556,Shepherd-Austin,Mccoyland,0.0019843725778543302,1
2886b020-61f1-40af-b964-2f49da7cef74,2025-03-08T06:15:39.435249,1297.7,withdrawal,Smith-Rodriguez,New Joanne,False,False,26980.01,25682.31,0232bc3e-fea9-4777-b6e7-925f2e278780,checking,checking,KVVZ62729806990162,22823.62,2024-07-28T21:02:23.936034,4157b158-1717-40c8-9ff0-a0a151172def,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T20:58:32.377405,False,,10,1290.939,420.1718576818036,1853.34,10,10,9,789.9433333333334,Shepherd-Austin,Mccoyland,0.0019287527356750026,1
4c5e5ba9-731e-4278-ac6f-9fbe9b7a514f,2025-03-19T01:09:59.430141,1000.29,withdrawal,Baker-Garza,Jensenstad,False,False,25682.31,24682.02,0232bc3e-fea9-4777-b6e7-925f2e278780,checking,checking,KVVZ62729806990162,22823.62,2024-07-28T21:02:23.936034,4157b158-1717-40c8-9ff0-a0a151172def,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T20:58:32.377405,False,,10,1290.939,420.1718576818036,1853.34,10,10,9,934.132222222222,Shepherd-Austin,Mccoyland,0.001938584325250117,1
a3007dd8-6ee1-439d-9595-e1834d0015f6,2025-03-20T17:21:14.066392,1853.34,purchase,"Singh, Gaines and Smith",Juanstad,False,False,24344.75,22491.41,0232bc3e-fea9-4777-b6e7-925f2e278780,checking,checking,KVVZ62729806990162,22823.62,2024-07-28T21:02:23.936034,4157b158-1717-40c8-9ff0-a0a151172def,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T20:58:32.377405,False,,10,1290.939,420.1718576818036,1853.34,10,10,9,1045.2755555555557,Shepherd-Austin,Mccoyland,0.0019284417253777736,1
66ebb17a-9c0a-4129-8aac-9e6dc305c8e6,2025-03-31T08:54:54.769177,1648.57,purchase,Moody and Sons,Williamsport,False,False,25993.32,24344.75,0232bc3e-fea9-4777-b6e7-925f2e278780,checking,checking,KVVZ62729806990162,22823.62,2024-07-28T21:02:23.936034,4157b158-1717-40c8-9ff0-a0a151172def,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T20:58:32.377405,False,,10,1290.939,420.1718576818036,1853.34,10,10,9,1251.2022222222222,Shepherd-Austin,Mccoyland,0.0019058666518695483,1
